prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Search for images,search_images,search_images,True,,2242.269992828369,search_operations,hard,llama-3.3-70b,,rag,2,0,False,,search_operations,"['security_operations', 'search_operations', 'networking_operations', 'image_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,885,25,910,True,"['search_images', 'read_barcode', 'decode_text', 'audit_permissions', 'dns_lookup']",1,False,False,,,,[],[]
Export patient record,generate_patient_summary,generate_patient_summary,True,,356.92381858825684,healthcare_operations,hard,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['networking_operations', 'text_operations', 'image_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1031,44,1075,True,"['generate_patient_summary', 'update_allergy_list', 'decode_text', 'read_barcode', 'dns_lookup']",1,False,False,,,,[],[]
Get the UPC code from the product photo,read_barcode,read_barcode,True,,385.94555854797363,image_operations,hard,llama-3.3-70b,,rag,2,0,False,,image_operations,"['security_operations', 'search_operations', 'image_operations', 'text_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1004,24,1028,True,"['read_barcode', 'search_images', 'decode_text', 'update_allergy_list', 'audit_permissions']",1,False,False,,,,[],[]
Add allergy to patient chart,update_allergy_list,update_allergy_list,True,,518.5155868530273,healthcare_operations,hard,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['analytics_operations', 'notification_operations', 'email_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1130,53,1183,True,"['update_allergy_list', 'generate_patient_summary', 'create_dashboard', 'snooze_email', 'manage_notification_segments']",1,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,569.4336891174316,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,"['security_operations', 'email_operations', 'text_operations', 'notification_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1052,41,1093,True,"['snooze_email', 'manage_notification_segments', 'update_allergy_list', 'decode_text', 'audit_permissions']",1,False,False,,,,[],[]
Audit access controls,audit_permissions,audit_permissions,True,,381.09779357910156,security_operations,hard,llama-3.3-70b,,rag,2,0,False,,security_operations,"['security_operations', 'image_operations', 'notification_operations', 'healthcare_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,1055,35,1090,True,"['audit_permissions', 'create_dashboard', 'update_allergy_list', 'manage_notification_segments', 'read_barcode']",1,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_text,True,,325.88720321655273,text_operations,hard,llama-3.3-70b,,rag,2,0,False,,text_operations,"['search_operations', 'networking_operations', 'text_operations', 'image_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,998,17,1015,True,"['decode_text', 'read_barcode', 'dns_lookup', 'search_images', 'update_allergy_list']",1,False,False,,,,[],[]
Create user segment,manage_notification_segments,manage_notification_segments,True,,351.87482833862305,notification_operations,hard,llama-3.3-70b,,rag,2,0,False,,notification_operations,"['security_operations', 'image_operations', 'notification_operations', 'healthcare_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,986,38,1024,True,"['manage_notification_segments', 'generate_patient_summary', 'create_dashboard', 'audit_permissions', 'read_barcode']",1,False,False,,,,[],[]
Set up a KPI dashboard,create_dashboard,create_dashboard,True,,633.6455345153809,analytics_operations,hard,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['email_operations', 'search_operations', 'notification_operations', 'healthcare_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,1097,81,1178,True,"['create_dashboard', 'manage_notification_segments', 'snooze_email', 'search_images', 'update_allergy_list']",1,False,False,,,,[],[]
Resolve DNS records,dns_lookup,dns_lookup,True,,377.0630359649658,networking_operations,hard,llama-3.3-70b,,rag,2,0,False,,networking_operations,"['search_operations', 'networking_operations', 'image_operations', 'text_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,928,32,960,True,"['dns_lookup', 'read_barcode', 'search_images', 'generate_patient_summary', 'decode_text']",1,False,False,,,,[],[]
