prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,create_dashboard,False,,684.4573020935059,notification_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,analytics_operations,['analytics_operations'],False,False,False,[],,,0,{},,,0,,,1759,67,1826,,[],,False,False,,,,[],[]
Validate backup files,verify_backup,verify_backup,True,,787.2896194458008,backup_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,1622,34,1656,,[],,False,False,,,,[],[]
Set up data annotation,create_labeling_job,create_labeling_job,True,,788.3589267730713,ai_ml_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,1862,68,1930,,[],,False,False,,,,[],[]
Increase relevance of popular items,boost_search_results,create_labeling_job,False,,728.2009124755859,search_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,1864,68,1932,,[],,False,False,,,,[],[]
Export the data to a CSV file,export_csv,,False,,475.114107131958,data_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1200,260,1460,,[],,False,False,,,,[],[]
Create database trigger,manage_database_triggers,manage_database_triggers,True,,1229.5212745666504,database_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2017,62,2079,,[],,False,False,,,,[],[]
Import the SQL dump,restore_database,,False,,840.5959606170654,database_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,True,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2019,500,2519,,[],,False,False,,,,[],[]
Create secondary index,create_cache_index,manage_database_triggers,False,,1238.9402389526367,caching_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2017,62,2079,,[],,False,False,,,,[],[]
Copy documents to new index,reindex,manage_database_triggers,False,,848.1428623199463,search_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2021,65,2086,,[],,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,932.5864315032959,authentication_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2050,33,2083,,[],,False,False,,,,[],[]
